id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
866152,Guesthouse in Bangkok ?? 1 bedroom ?? 3 beds ?? 1 bath,822284,Rae And Charlie,,Bang Sue,13.82955,100.52119,Entire home/apt,1000,3,0,,,8,171,0,
1341114,Rental unit in Bangna ?? 1 bedroom ?? 1 bed ?? 1 bath,7273604,Nim,,Bang Na,13.67826,100.60592,Entire home/apt,1750,28,0,,,2,365,0,
1341890,Rental unit in Huai Khwang ?? ?òÖ4.71 ?? 1 bedroom ?? 1 bed ?? 1 bath,7278395,Niramol,,Huai Khwang,13.74538,100.59943,Entire home/apt,888,7,58,9/6/2023,0.48,7,127,7,
605314,Rental unit in Bangkok ?? ?òÖ4.46 ?? Studio ?? 1 bed ?? 1 bath,1927968,Evan,,Sathon,13.720785,100.547241,Entire home/apt,814,1,432,28/5/2023,3.28,39,362,10,
1344388,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,2653642,Hab,,Din Daeng,13.77126,100.57088,Private room,1200,2,0,,,1,0,0,
866329,Rental unit in Bangkok ?? ?òÖ4.58 ?? 1 bedroom ?? 1 bed ?? 1 bath,4549405,Carlos,,Bang Rak,13.72479,100.53039,Private room,728,21,14,26/4/2023,0.12,2,255,6,
869715,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,4583001,Suchela,,Khlong Toei,13.7142,100.59233,Entire home/apt,880,120,0,,,2,0,0,
605343,Rental unit in Bangkok ?? ?òÖ4.57 ?? Studio ?? 1 bed ?? 1 bath,1927968,Evan,,Sathon,13.720785,100.547241,Entire home/apt,700,1,228,8/5/2023,1.78,39,349,8,
881208,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,4549405,Carlos,,Bang Rak,13.72386,100.52563,Private room,800,180,0,,,2,365,0,
1350390,Rental unit in Bangkok ?? ?òÖ4.53 ?? 1 bedroom ?? 1 bed ?? 1 bath,2129668,Wimonpak,,Sathon,13.71628,100.51238,Entire home/apt,990,1,119,26/5/2023,0.98,44,339,15,
1642375,Hotel in Khet Yan Nawa ?? 1 bedroom ?? 1 bed ?? 1 shared bath,8717079,Kriengsak From Chatrium Sathon,,Yan na wa,13.70249,100.53757,Private room,3779,1,1,22/9/2019,0.02,14,354,0,
1353517,Condo in Bangkok ?? ?òÖ4.80 ?? 2 bedrooms ?? 3 beds ?? 2 baths,7327298,Notee,,Khlong Toei,13.72393,100.57647,Entire home/apt,3450,5,30,31/5/2023,0.33,3,53,13,
1394285,Rental unit in Bangkok ?? ?òÖ4.13 ?? 1 bedroom ?? 1 bed ?? 1 bath,7489121,Anis,,Suanluang,13.73789,100.64271,Private room,850,1,8,30/6/2022,0.1,11,365,1,
888304,Condo in Bangkok ?? ?òÖ4.89 ?? 1 bedroom ?? 1 bed ?? 1 bath,2592798,Nokina,,Chatu Chak,13.83028,100.57065,Entire home/apt,880,4,9,14/12/2021,0.07,2,0,0,
